episode,step,agent,cube_x,cube_y,target_x,target_y,dist,action,done,success
5,5,heuristic,0.1,0.4,0.4,0.4,0.30000000000000004,forward,False,False
5,6,heuristic,0.2,0.4,0.4,0.4,0.2,forward,False,False
5,7,heuristic,0.30000000000000004,0.4,0.4,0.4,0.09999999999999998,forward,True,True
6,0,heuristic,0.5,0.2,-0.30000000000000004,-0.30000000000000004,0.9433981132056605,backward,False,False
6,1,heuristic,0.4,0.2,-0.30000000000000004,-0.30000000000000004,0.8602325267042628,backward,False,False
6,2,heuristic,0.30000000000000004,0.2,-0.30000000000000004,-0.30000000000000004,0.7810249675906655,backward,False,False
6,3,heuristic,0.2,0.2,-0.30000000000000004,-0.30000000000000004,0.7071067811865476,backward,False,False
6,4,heuristic,0.1,0.2,-0.30000000000000004,-0.30000000000000004,0.6403124237432849,right,False,False
6,5,heuristic,0.1,0.1,-0.30000000000000004,-0.30000000000000004,0.565685424949238,backward,False,False
6,6,heuristic,0.0,0.1,-0.30000000000000004,-0.30000000000000004,0.5,right,False,False
6,7,heuristic,0.0,0.0,-0.30000000000000004,-0.30000000000000004,0.42426406871192857,backward,False,False
6,8,heuristic,-0.1,0.0,-0.30000000000000004,-0.30000000000000004,0.360555127546399,right,False,False
6,9,heuristic,-0.1,-0.1,-0.30000000000000004,-0.30000000000000004,0.28284271247461906,backward,False,False
6,10,heuristic,-0.2,-0.1,-0.30000000000000004,-0.30000000000000004,0.22360679774997902,right,False,False
6,11,heuristic,-0.2,-0.2,-0.30000000000000004,-0.30000000000000004,0.14142135623730956,backward,False,False
6,12,heuristic,-0.30000000000000004,-0.2,-0.30000000000000004,-0.30000000000000004,0.10000000000000003,right,True,True
7,0,heuristic,-0.1,-0.7000000000000001,-0.7000000000000001,-0.1,0.8485281374238571,backward,False,False
7,1,heuristic,-0.2,-0.7000000000000001,-0.7000000000000001,-0.1,0.7810249675906655,left,False,False
7,2,heuristic,-0.2,-0.6000000000000001,-0.7000000000000001,-0.1,0.7071067811865476,left,False,False
7,3,heuristic,-0.2,-0.5,-0.7000000000000001,-0.1,0.6403124237432849,backward,False,False
7,4,heuristic,-0.30000000000000004,-0.5,-0.7000000000000001,-0.1,0.565685424949238,backward,False,False
7,5,heuristic,-0.4,-0.5,-0.7000000000000001,-0.1,0.5,left,False,False
7,6,heuristic,-0.4,-0.4,-0.7000000000000001,-0.1,0.42426406871192857,backward,False,False
7,7,heuristic,-0.5,-0.4,-0.7000000000000001,-0.1,0.360555127546399,left,False,False
7,8,heuristic,-0.5,-0.30000000000000004,-0.7000000000000001,-0.1,0.28284271247461906,backward,False,False
7,9,heuristic,-0.6000000000000001,-0.30000000000000004,-0.7000000000000001,-0.1,0.223606797749979,left,False,False
7,10,heuristic,-0.6000000000000001,-0.2,-0.7000000000000001,-0.1,0.1414213562373095,left,False,False
7,11,heuristic,-0.6000000000000001,-0.1,-0.7000000000000001,-0.1,0.09999999999999998,backward,True,True
8,0,heuristic,0.6000000000000001,0.0,-0.1,-0.30000000000000004,0.7615773105863909,backward,False,False
8,1,heuristic,0.5,0.0,-0.1,-0.30000000000000004,0.6708203932499369,backward,False,False
8,2,heuristic,0.4,0.0,-0.1,-0.30000000000000004,0.5830951894845301,backward,False,False
8,3,heuristic,0.30000000000000004,0.0,-0.1,-0.30000000000000004,0.5,backward,False,False
8,4,heuristic,0.2,0.0,-0.1,-0.30000000000000004,0.42426406871192857,backward,False,False
8,5,heuristic,0.1,0.0,-0.1,-0.30000000000000004,0.36055512754639896,right,False,False
8,6,heuristic,0.1,-0.1,-0.1,-0.30000000000000004,0.28284271247461906,right,False,False
8,7,heuristic,0.1,-0.2,-0.1,-0.30000000000000004,0.223606797749979,backward,False,False
8,8,heuristic,0.0,-0.2,-0.1,-0.30000000000000004,0.14142135623730953,right,False,False
8,9,heuristic,0.0,-0.30000000000000004,-0.1,-0.30000000000000004,0.1,backward,True,True
9,0,heuristic,-0.5,0.2,0.7000000000000001,0.1,1.2041594578792296,forward,False,False
9,1,heuristic,-0.4,0.2,0.7000000000000001,0.1,1.104536101718726,forward,False,False
9,2,heuristic,-0.30000000000000004,0.2,0.7000000000000001,0.1,1.004987562112089,forward,False,False
9,3,heuristic,-0.2,0.2,0.7000000000000001,0.1,0.9055385138137418,forward,False,False
9,4,heuristic,-0.1,0.2,0.7000000000000001,0.1,0.806225774829855,forward,False,False
9,5,heuristic,0.0,0.2,0.7000000000000001,0.1,0.7071067811865476,forward,False,False
9,6,heuristic,0.1,0.2,0.7000000000000001,0.1,0.608276253029822,forward,False,False
9,7,heuristic,0.2,0.2,0.7000000000000001,0.1,0.5099019513592785,forward,False,False
9,8,heuristic,0.30000000000000004,0.2,0.7000000000000001,0.1,0.41231056256176607,forward,False,False
9,9,heuristic,0.4,0.2,0.7000000000000001,0.1,0.316227766016838,forward,False,False
9,10,heuristic,0.5,0.2,0.7000000000000001,0.1,0.22360679774997902,forward,False,False
9,11,heuristic,0.6000000000000001,0.2,0.7000000000000001,0.1,0.1414213562373095,right,False,False
9,12,heuristic,0.6000000000000001,0.1,0.7000000000000001,0.1,0.09999999999999998,forward,True,True
