episode,step,agent,cube_x,cube_y,target_x,target_y,dist,action,done,success
0,0,random,-0.5,0.30000000000000004,0.2,-0.4,0.9899494936611666,forward,False,False
0,1,random,-0.4,0.30000000000000004,0.2,-0.4,0.9219544457292889,backward,False,False
0,2,random,-0.5,0.30000000000000004,0.2,-0.4,0.9899494936611666,right,False,False
0,3,random,-0.5,0.2,0.2,-0.4,0.9219544457292888,left,False,False
0,4,random,-0.5,0.30000000000000004,0.2,-0.4,0.9899494936611666,backward,False,False
0,5,random,-0.6000000000000001,0.30000000000000004,0.2,-0.4,1.063014581273465,right,False,False
0,6,random,-0.6000000000000001,0.2,0.2,-0.4,1.0,backward,False,False
0,7,random,-0.7000000000000001,0.2,0.2,-0.4,1.0816653826391969,right,False,False
0,8,random,-0.7000000000000001,0.1,0.2,-0.4,1.0295630140987002,right,False,False
0,9,random,-0.7000000000000001,0.0,0.2,-0.4,0.9848857801796106,left,False,False
0,10,random,-0.7000000000000001,0.1,0.2,-0.4,1.0295630140987002,forward,False,False
0,11,random,-0.6000000000000001,0.1,0.2,-0.4,0.9433981132056605,forward,False,False
0,12,random,-0.5,0.1,0.2,-0.4,0.8602325267042626,left,False,False
0,13,random,-0.5,0.2,0.2,-0.4,0.9219544457292888,forward,False,False
0,14,random,-0.4,0.2,0.2,-0.4,0.8485281374238571,left,False,False
0,15,random,-0.4,0.30000000000000004,0.2,-0.4,0.9219544457292889,left,False,False
0,16,random,-0.4,0.4,0.2,-0.4,1.0,right,False,False
0,17,random,-0.4,0.30000000000000004,0.2,-0.4,0.9219544457292889,forward,False,False
0,18,random,-0.30000000000000004,0.30000000000000004,0.2,-0.4,0.8602325267042628,backward,False,False
0,19,random,-0.4,0.30000000000000004,0.2,-0.4,0.9219544457292889,left,True,False
1,0,random,0.30000000000000004,-0.6000000000000001,-0.6000000000000001,0.1,1.140175425099138,right,False,False
1,1,random,0.30000000000000004,-0.7000000000000001,-0.6000000000000001,0.1,1.2041594578792296,forward,False,False
1,2,random,0.4,-0.7000000000000001,-0.6000000000000001,0.1,1.2806248474865698,backward,False,False
1,3,random,0.30000000000000004,-0.7000000000000001,-0.6000000000000001,0.1,1.2041594578792296,backward,False,False
1,4,random,0.2,-0.7000000000000001,-0.6000000000000001,0.1,1.131370849898476,forward,False,False
1,5,random,0.30000000000000004,-0.7000000000000001,-0.6000000000000001,0.1,1.2041594578792296,left,False,False
1,6,random,0.30000000000000004,-0.6000000000000001,-0.6000000000000001,0.1,1.140175425099138,forward,False,False
1,7,random,0.4,-0.6000000000000001,-0.6000000000000001,0.1,1.2206555615733703,forward,False,False
1,8,random,0.5,-0.6000000000000001,-0.6000000000000001,0.1,1.30384048104053,forward,False,False
1,9,random,0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.1,1.3892443989449805,backward,False,False
1,10,random,0.5,-0.6000000000000001,-0.6000000000000001,0.1,1.30384048104053,forward,False,False
1,11,random,0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.1,1.3892443989449805,backward,False,False
1,12,random,0.5,-0.6000000000000001,-0.6000000000000001,0.1,1.30384048104053,forward,False,False
1,13,random,0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.1,1.3892443989449805,backward,False,False
1,14,random,0.5,-0.6000000000000001,-0.6000000000000001,0.1,1.30384048104053,backward,False,False
1,15,random,0.4,-0.6000000000000001,-0.6000000000000001,0.1,1.2206555615733703,forward,False,False
1,16,random,0.5,-0.6000000000000001,-0.6000000000000001,0.1,1.30384048104053,left,False,False
1,17,random,0.5,-0.5,-0.6000000000000001,0.1,1.252996408614167,backward,False,False
1,18,random,0.4,-0.5,-0.6000000000000001,0.1,1.1661903789690602,left,False,False
1,19,random,0.4,-0.4,-0.6000000000000001,0.1,1.118033988749895,forward,True,False
2,0,random,-0.7000000000000001,-0.1,-0.1,-0.7000000000000001,0.8485281374238571,right,False,False
2,1,random,-0.7000000000000001,-0.2,-0.1,-0.7000000000000001,0.7810249675906655,left,False,False
2,2,random,-0.7000000000000001,-0.1,-0.1,-0.7000000000000001,0.8485281374238571,forward,False,False
2,3,random,-0.6000000000000001,-0.1,-0.1,-0.7000000000000001,0.7810249675906655,forward,False,False
2,4,random,-0.5,-0.1,-0.1,-0.7000000000000001,0.7211102550927979,right,False,False
2,5,random,-0.5,-0.2,-0.1,-0.7000000000000001,0.6403124237432849,right,False,False
2,6,random,-0.5,-0.30000000000000004,-0.1,-0.7000000000000001,0.565685424949238,right,False,False
2,7,random,-0.5,-0.4,-0.1,-0.7000000000000001,0.5,right,False,False
2,8,random,-0.5,-0.5,-0.1,-0.7000000000000001,0.447213595499958,backward,False,False
2,9,random,-0.6000000000000001,-0.5,-0.1,-0.7000000000000001,0.5385164807134505,forward,False,False
2,10,random,-0.5,-0.5,-0.1,-0.7000000000000001,0.447213595499958,forward,False,False
2,11,random,-0.4,-0.5,-0.1,-0.7000000000000001,0.360555127546399,backward,False,False
2,12,random,-0.5,-0.5,-0.1,-0.7000000000000001,0.447213595499958,forward,False,False
2,13,random,-0.4,-0.5,-0.1,-0.7000000000000001,0.360555127546399,backward,False,False
2,14,random,-0.5,-0.5,-0.1,-0.7000000000000001,0.447213595499958,right,False,False
2,15,random,-0.5,-0.6000000000000001,-0.1,-0.7000000000000001,0.41231056256176607,left,False,False
2,16,random,-0.5,-0.5,-0.1,-0.7000000000000001,0.447213595499958,backward,False,False
2,17,random,-0.6000000000000001,-0.5,-0.1,-0.7000000000000001,0.5385164807134505,left,False,False
