success,steps,total_reward,path_length,final_distance,initial_distance,manhattan_distance,path_efficiency,initial_cube_pos,initial_target_pos,agent,trial,timestamp
True,14,-6.240819301949597,15,0.04,0.8485281374238571,14,1.0,"(np.int64(10), np.int64(17))","(np.int64(17), np.int64(10))",A* (Static),0,2025-11-05T21:53:53.805031
True,8,-2.1358551011812565,9,0.028284271247461926,0.6,8,1.0,"(np.int64(11), np.int64(8))","(np.int64(3), np.int64(8))",A* (Static),1,2025-11-05T21:53:53.821616
True,18,-9.674504581005282,19,0.028284271247461888,1.0,18,1.0,"(np.int64(8), np.int64(16))","(np.int64(16), np.int64(6))",A* (Static),2,2025-11-05T21:53:53.835606
True,16,-9.2591779017257,17,0.028284271247461926,1.104536101718726,16,1.0,"(np.int64(10), np.int64(2))","(np.int64(8), np.int64(16))",A* (Static),3,2025-11-05T21:53:53.849414
True,14,-5.783404802751344,15,0.020000000000000018,0.7810249675906655,14,1.0,"(np.int64(16), np.int64(8))","(np.int64(8), np.int64(2))",A* (Static),4,2025-11-05T21:53:53.863415
True,8,-2.266436752805263,9,0.020000000000000018,0.6000000000000001,8,1.0,"(np.int64(8), np.int64(10))","(np.int64(8), np.int64(2))",A* (Static),5,2025-11-05T21:53:53.875821
True,12,-5.1448055252644425,13,0.03999999999999998,0.7615773105863908,12,1.0,"(np.int64(8), np.int64(3))","(np.int64(5), np.int64(12))",A* (Static),6,2025-11-05T21:53:53.890322
True,10,-3.44,11,0.020000000000000018,0.8,10,1.0,"(np.int64(13), np.int64(12))","(np.int64(3), np.int64(12))",A* (Static),7,2025-11-05T21:53:53.903328
True,17,-9.184394289328944,18,0.020000000000000018,0.9219544457292886,17,1.0,"(np.int64(16), np.int64(3))","(np.int64(8), np.int64(12))",A* (Static),8,2025-11-05T21:53:53.918850
True,13,-5.119736441994627,14,0.020000000000000018,0.7071067811865476,13,1.0,"(np.int64(18), np.int64(10))","(np.int64(12), np.int64(3))",A* (Static),9,2025-11-05T21:53:53.933848
True,11,-4.327586426324856,12,0.04,0.806225774829855,11,1.0,"(np.int64(2), np.int64(11))","(np.int64(12), np.int64(10))",A* (Dynamic),0,2025-11-05T21:53:53.950751
True,18,-11.677075222797152,19,0.04472135954999581,1.118033988749895,18,1.0,"(np.int64(11), np.int64(1))","(np.int64(5), np.int64(13))",A* (Dynamic),1,2025-11-05T21:53:53.968752
True,17,-9.237211596542718,18,0.04,0.9899494936611666,17,1.0,"(np.int64(11), np.int64(18))","(np.int64(2), np.int64(10))",A* (Dynamic),2,2025-11-05T21:53:53.987175
True,10,-3.456463253952554,11,0.028284271247461846,0.7071067811865476,10,1.0,"(np.int64(7), np.int64(2))","(np.int64(6), np.int64(11))",A* (Dynamic),3,2025-11-05T21:53:54.001183
