threshold,boost,boost_type,success_rate,successes,avg_steps_all,avg_steps_successful,query_rate,follow_rate
baseline,N/A,N/A,80.0,120,29.373333333333335,21.716666666666665,0.0,0.0
0.6,1.5,multiplicative,83.33333333333334,125,30.58,24.696,66.16524961848704,44.77759472817133
0.6,2.0,multiplicative,82.66666666666667,124,30.526666666666667,24.346774193548388,66.17165319938852,49.04290429042904
0.6,3.0,multiplicative,80.0,120,30.946666666666665,23.683333333333334,65.51055579491599,55.573824399868464
0.6,5.0,multiplicative,80.66666666666666,121,30.68,23.65289256198347,63.49413298565841,62.35455167693361
0.8,1.5,multiplicative,87.33333333333333,131,29.286666666666665,24.83206106870229,36.3077623491919,43.44827586206896
0.8,2.0,multiplicative,86.66666666666667,130,29.533333333333335,24.846153846153847,36.77200902934537,47.14548802946593
0.8,3.0,multiplicative,86.0,129,28.226666666666667,23.05426356589147,37.033538025507795,56.31377551020408
0.8,5.0,multiplicative,78.66666666666666,118,30.76,22.83050847457627,40.24707412223667,61.55088852988692
1.0,1.5,multiplicative,84.0,126,28.993333333333332,23.08730158730159,22.832835134513683,40.684793554884195
1.0,2.0,multiplicative,82.66666666666667,124,30.053333333333335,23.774193548387096,23.11446317657498,48.0806142034549
1.0,3.0,multiplicative,84.66666666666667,127,28.473333333333333,22.763779527559056,24.420510419105597,54.170661553211886
1.0,5.0,multiplicative,84.66666666666667,127,28.626666666666665,22.944881889763778,25.547275267815557,61.34913400182316
1.2,1.5,multiplicative,82.0,123,28.92,22.097560975609756,11.341632088520056,40.853658536585364
1.2,2.0,multiplicative,81.33333333333333,122,29.513333333333332,22.516393442622952,11.271741585723968,44.28857715430862
1.2,3.0,multiplicative,82.0,123,28.9,22.073170731707318,12.318339100346021,59.176029962546814
1.2,5.0,multiplicative,82.66666666666667,124,27.966666666666665,21.25,11.96662693682956,67.13147410358566
1.4,1.5,multiplicative,80.0,120,29.373333333333335,21.716666666666665,0.0,0.0
1.4,2.0,multiplicative,80.0,120,29.373333333333335,21.716666666666665,0.0,0.0
1.4,3.0,multiplicative,80.0,120,29.373333333333335,21.716666666666665,0.0,0.0
1.4,5.0,multiplicative,80.0,120,29.373333333333335,21.716666666666665,0.0,0.0
0.6,0.1,additive,82.66666666666667,124,30.773333333333333,24.64516129032258,66.74610051993068,41.44758195391107
0.6,0.2,additive,84.0,126,30.993333333333332,25.46825396825397,65.88513658851366,45.83741429970617
0.6,0.3,additive,82.66666666666667,124,31.546666666666667,25.580645161290324,65.91293322062552,50.016030779095864
0.8,0.1,additive,86.0,129,29.393333333333334,24.410852713178294,38.30800635064641,40.023682652457076
0.8,0.2,additive,84.0,126,29.966666666666665,24.246031746031747,36.64071190211346,44.44444444444444
0.8,0.3,additive,83.33333333333334,125,30.9,25.08,40.064724919093855,49.00376952073236
1.0,0.1,additive,86.0,129,28.666666666666668,23.565891472868216,23.441860465116278,38.69047619047619
1.0,0.2,additive,82.66666666666667,124,29.80666666666667,23.475806451612904,23.350480876761353,47.509578544061306
1.0,0.3,additive,87.33333333333333,131,28.14,23.519083969465647,23.643686330253495,47.49498997995992
1.2,0.1,additive,80.66666666666666,121,29.24,21.867768595041323,11.855905152758778,40.57692307692308
1.2,0.2,additive,80.66666666666666,121,29.293333333333333,21.93388429752066,11.037778789258079,39.79381443298969
1.2,0.3,additive,83.33333333333334,125,28.426666666666666,22.112,11.98405253283302,48.7279843444227
1.4,0.1,additive,80.0,120,29.373333333333335,21.716666666666665,0.0,0.0
1.4,0.2,additive,80.0,120,29.373333333333335,21.716666666666665,0.0,0.0
1.4,0.3,additive,80.0,120,29.373333333333335,21.716666666666665,0.0,0.0
